FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;COMUNA;FECHA(YYYYMMDD)
100705;0;;;0;Concepcion;20100705
100706;0;;;0;Concepcion;20100706
100707;0;;;0;Concepcion;20100707
100708;0;;;0;Concepcion;20100708
100709;0;;;0;Concepcion;20100709
100710;0;;;0;Concepcion;20100710
100711;0;;;0;Concepcion;20100711
100712;0;;;0;Concepcion;20100712
100713;0;;;0;Concepcion;20100713
100714;0;;;0;Concepcion;20100714
100715;0;;;0;Concepcion;20100715
100716;0;;;0;Concepcion;20100716
100717;0;;;0;Concepcion;20100717
100718;0;;;21.34;Concepcion;20100718
100719;0;;;37.3799;Concepcion;20100719
100720;0;;;18.26;Concepcion;20100720
100721;0;;;6.657;Concepcion;20100721
100722;0;;;29.02;Concepcion;20100722
100723;0;;;38.4;Concepcion;20100723
100724;0;;;14.68;Concepcion;20100724
100725;0;;;6.486;Concepcion;20100725
100726;0;;;12.29;Concepcion;20100726
100727;0;;;21.5;Concepcion;20100727
100728;0;;;41.66;Concepcion;20100728
100729;0;;;22.19;Concepcion;20100729
100730;0;;;48.14;Concepcion;20100730
100731;0;;;39.6;Concepcion;20100731
100801;0;;;41.65;Concepcion;20100801
100802;0;;;38.92;Concepcion;20100802
100803;0;;;26.63;Concepcion;20100803
100804;0;;;26.28;Concepcion;20100804
100805;0;;;16.04;Concepcion;20100805
100806;0;;;29.19;Concepcion;20100806
100807;0;;;11.27;Concepcion;20100807
100808;0;;;29.19;Concepcion;20100808
100809;0;;;34.8199;Concepcion;20100809
100810;0;;;28.84;Concepcion;20100810
100811;0;;;40.11;Concepcion;20100811
100812;0;;;20.14;Concepcion;20100812
100813;0;;;47.45;Concepcion;20100813
100814;0;;;41.99;Concepcion;20100814
100815;0;;;41.99;Concepcion;20100815
100816;0;;;41.99;Concepcion;20100816
100817;0;;;41.99;Concepcion;20100817
100818;0;;;41.99;Concepcion;20100818
100819;0;;;41.99;Concepcion;20100819
100820;0;;;53.59;Concepcion;20100820
100821;0;;;35.5;Concepcion;20100821
100822;0;;;0;Concepcion;20100822
100823;0;;;0;Concepcion;20100823
100824;0;;;11.95;Concepcion;20100824
100825;0;;;32.09;Concepcion;20100825
100826;0;;;14.68;Concepcion;20100826
100827;0;;;11.26;Concepcion;20100827
100828;0;;;0;Concepcion;20100828
100829;0;;;0;Concepcion;20100829
100830;0;;;0;Concepcion;20100830
100831;0;;;0;Concepcion;20100831
100901;0;;;0;Concepcion;20100901
100902;0;;;0.171;Concepcion;20100902
100903;0;;;0;Concepcion;20100903
100904;0;;;0;Concepcion;20100904
100905;0;;;22.19;Concepcion;20100905
100906;0;;;22.19;Concepcion;20100906
100907;0;;;22.19;Concepcion;20100907
100908;0;;;22.19;Concepcion;20100908
100909;0;;;0.171;Concepcion;20100909
100910;0;;;22.19;Concepcion;20100910
100911;0;;;8.87999;Concepcion;20100911
100912;0;;;53.59;Concepcion;20100912
100913;0;;;10.92;Concepcion;20100913
100914;0;;;12.29;Concepcion;20100914
100915;0;;;6.144;Concepcion;20100915
100916;0;;;9.56;Concepcion;20100916
100917;0;;;14.68;Concepcion;20100917
100918;0;;;23.9;Concepcion;20100918
100919;0;;;22.53;Concepcion;20100919
100920;0;;;29.19;Concepcion;20100920
100921;0;;;11.95;Concepcion;20100921
100922;0;;;16.04;Concepcion;20100922
100923;0;;;9.73;Concepcion;20100923
100924;0;;;25.94;Concepcion;20100924
100925;0;;;16.38;Concepcion;20100925
100926;0;;;11.61;Concepcion;20100926
100927;0;;;23.55;Concepcion;20100927
100928;0;;;11.61;Concepcion;20100928
100929;0;;;5.12;Concepcion;20100929
