CodigoNacional;momento;Total_Valor;Traza_Valor;Parcial_Valor;NumDatos_Valor;FechaPro_Valor
290004;24-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;25-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;26-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;27-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;28-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;29-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;30-06-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;01-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;02-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;03-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;04-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;05-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;06-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;07-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;08-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;09-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;10-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;11-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;12-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;13-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;14-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;15-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;16-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;17-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;18-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;19-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;20-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;21-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;22-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;23-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;24-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;25-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;26-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;27-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;28-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;29-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;30-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;31-07-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;01-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;02-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;03-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;04-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;05-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;06-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;07-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;08-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;09-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;10-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;11-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;12-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;13-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;14-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;15-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;16-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;17-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;18-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;19-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;20-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;21-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;22-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;23-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;24-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;25-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;26-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;27-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;28-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;29-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;30-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;31-08-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;01-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;02-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;03-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;04-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;05-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;06-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;07-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;08-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;09-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;10-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;11-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;12-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;13-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;14-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;15-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;16-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;17-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;18-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;19-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;20-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;21-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;22-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;23-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;24-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;25-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;26-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;27-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;28-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;29-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;30-09-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;01-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;02-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;03-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;04-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;05-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;06-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;07-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;08-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;09-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;10-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;11-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;12-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;13-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;14-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;15-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;16-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;17-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;18-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;19-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;20-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;21-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;22-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;23-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;24-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;25-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;26-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;27-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;28-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;29-10-1954 12:00:00;0.0;0.0;0.0;0.0;2018.0
290004;30-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;31-10-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;01-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;02-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;03-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;04-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;05-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;06-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;07-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;08-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;09-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;10-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;11-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;12-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;13-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;14-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;15-11-1954 12:00:00;0.0;0.0;0.0;0.0;2018.0
290004;16-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;17-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;18-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;19-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;20-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;21-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;22-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;23-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;24-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;25-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;26-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;27-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;28-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;29-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;30-11-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;01-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;02-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;03-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;04-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;05-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;06-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;07-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;08-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;09-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;10-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;11-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;12-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;13-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;14-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;15-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;16-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;17-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;18-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;19-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;20-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;21-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;22-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;23-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;24-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;25-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;26-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;27-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;28-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;29-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;30-12-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;31-12-1954 12:00:00;0.0;0.0;0.0;0.0;2018.0
290004;01-01-1960 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;02-01-1960 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;03-01-1960 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;04-01-1960 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;05-01-1960 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;06-01-1960 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;07-01-1960 12:00:00;0.0;0.0;0.0;1.0;2018.0
